Davik/2.1.0 (Linux; U; Android 11; Infinix X688B Build/RP1A.200720.011) [FBAN/MessengerLite;FBAV/324.0.0.2.95;FBPN/com.facebook.mlite;FBLC/en;FBBV/708710275;FBCR/Jazz;FBMF/INFINIX MOBILITY LIMITED;FBBD/Infinix;FBDV/Infinix X688B;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.25,height=,width=};]
Dalvik/2.1.0 (Linux; U; Android 14; Sony Xperia 942 Ultra Build/TQ1A.361310.011) [FBAN/FB4A;FBAV/201.0.0.84.65;FBBV/906573043;FBRV/0;FBPN/com.facebook.katana;FBLC/da_DK;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia 942 Ultra;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Vivo S53O Build/L2WTSF) [FBAN/FB4A;FBAV/380.0.0.16.42;FBBV/325937002;FBRV/0;FBPN/com.facebook.katana;FBLC/ro_RO;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo S53O;FBSV/5;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Sony Xperia L507 Build/TQ1A.682153.057) [FBAN/FB4A;FBAV/379.0.0.19.40;FBBV/787012601;FBRV/0;FBPN/com.facebook.katana;FBLC/zh_CN;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia L507;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Itel 563 Max Build/TP1A.135197.062) [FBAN/FB4A;FBAV/358.0.0.49.52;FBBV/945785685;FBRV/0;FBPN/com.facebook.katana;FBLC/pl_PL;FBMF/Itel;FBBD/Itel;FBDV/Itel 563 Max;FBSV/14;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Oppo 532 Ultra Build/SQ1D.329019.017) [FBAN/FB4A;FBAV/409.0.0.45.68;FBBV/367633128;FBRV/0;FBPN/com.facebook.katana;FBLC/ar_AR;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo 532 Ultra;FBSV/12;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Redmi G633 Ultra Build/TD1A.701666.082) [FBAN/FB4A;FBAV/142.0.0.89.61;FBBV/742432725;FBRV/0;FBPN/com.facebook.katana;FBLC/ms_MY;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi G633 Ultra;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Vivo 348 Max Build/LCZJ8L) [FBAN/FB4A;FBAV/356.0.0.56.73;FBBV/770546198;FBRV/0;FBPN/com.facebook.katana;FBLC/ca_ES;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo 348 Max;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 8; Infinix I235T Build/OPD2.615825.075) [FBAN/FB4A;FBAV/301.0.0.76.90;FBBV/464696230;FBRV/0;FBPN/com.facebook.katana;FBLC/fi_FI;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix I235T;FBSV/8;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; Honor 283 Pro Build/PQ1A.897547.024) [FBAN/FB4A;FBAV/446.0.0.88.50;FBBV/232690137;FBRV/0;FBPN/com.facebook.katana;FBLC/fi_FI;FBMF/Honor;FBBD/Honor;FBDV/Honor 283 Pro;FBSV/9;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Realme 516 Build/QQ1B.680285.097) [FBAN/FB4A;FBAV/370.0.0.43.96;FBBV/676343955;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_PT;FBMF/Realme;FBBD/Realme;FBDV/Realme 516;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 4; Mi E531 Ultra Build/J6ML6X) [FBAN/FB4A;FBAV/287.0.0.52.22;FBBV/163102754;FBRV/0;FBPN/com.facebook.katana;FBLC/el_GR;FBMF/Mi;FBBD/Mi;FBDV/Mi E531 Ultra;FBSV/4;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Nokia Asha J359 Max Build/SP2A.400617.052) [FBAN/FB4A;FBAV/343.0.0.57.59;FBBV/282450211;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_CA;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia Asha J359 Max;FBSV/12;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Redmi 28T Build/TD1A.114047.093) [FBAN/FB4A;FBAV/337.0.0.40.26;FBBV/596606702;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_FR;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi 28T;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; LG-215H Build/RQ3A.179407.011) [FBAN/FB4A;FBAV/235.0.0.84.94;FBBV/447798101;FBRV/0;FBPN/com.facebook.katana;FBLC/mk_MK;FBMF/LG;FBBD/LG;FBDV/LG-215H;FBSV/11;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Itel 839T Build/M29NYL) [FBAN/FB4A;FBAV/442.0.0.59.20;FBBV/955691020;FBRV/0;FBPN/com.facebook.katana;FBLC/bg_BG;FBMF/Itel;FBBD/Itel;FBDV/Itel 839T;FBSV/6;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Redmi Q270 Max Build/TQ1A.955357.067) [FBAN/FB4A;FBAV/154.0.0.90.61;FBBV/275971608;FBRV/0;FBPN/com.facebook.katana;FBLC/zh_CN;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Q270 Max;FBSV/14;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Redmi 602 Ultra Build/TQ1A.705049.073) [FBAN/FB4A;FBAV/269.0.0.57.99;FBBV/962971841;FBRV/0;FBPN/com.facebook.katana;FBLC/da_DK;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi 602 Ultra;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Honor 957 Ultra Build/TQ1A.920963.065) [FBAN/FB4A;FBAV/185.0.0.37.97;FBBV/209343969;FBRV/0;FBPN/com.facebook.katana;FBLC/ko_KR;FBMF/Honor;FBBD/Honor;FBDV/Honor 957 Ultra;FBSV/14;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; SM-A921M Build/QQ1B.672378.071) [FBAN/FB4A;FBAV/251.0.0.12.64;FBBV/641063894;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_CA;FBMF/SM;FBBD/SM;FBDV/SM-A921M;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; LG-607L Build/TQ1A.801993.017) [FBAN/FB4A;FBAV/311.0.0.69.35;FBBV/786553150;FBRV/0;FBPN/com.facebook.katana;FBLC/hi_IN;FBMF/LG;FBBD/LG;FBDV/LG-607L;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; Infinix 716T Build/PQ1A.358409.019) [FBAN/FB4A;FBAV/289.0.0.79.47;FBBV/678625551;FBRV/0;FBPN/com.facebook.katana;FBLC/el_GR;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix 716T;FBSV/9;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 15; Vivo M26G Build/TQ2A.219471.037) [FBAN/FB4A;FBAV/430.0.0.46.51;FBBV/408129949;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_BR;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo M26G;FBSV/15;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; SM-F682ES Build/M42MCR) [FBAN/FB4A;FBAV/285.0.0.23.41;FBBV/564031600;FBRV/0;FBPN/com.facebook.katana;FBLC/sr_RS;FBMF/SM;FBBD/SM;FBDV/SM-F682ES;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Infinix E731 Max Build/QQ3A.665702.098) [FBAN/FB4A;FBAV/345.0.0.72.82;FBBV/797832113;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_BR;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix E731 Max;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 8; Itel 793 Ultra Build/OPD3.526470.017) [FBAN/FB4A;FBAV/113.0.0.70.18;FBBV/725051798;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_BR;FBMF/Itel;FBBD/Itel;FBDV/Itel 793 Ultra;FBSV/8;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; RMX7577 Build/NVENKU) [FBAN/FB4A;FBAV/282.0.0.67.30;FBBV/752999571;FBRV/0;FBPN/com.facebook.katana;FBLC/es_ES;FBMF/RMX;FBBD/RMX;FBDV/RMX7577;FBSV/7;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Realme R675 Build/MUR37T) [FBAN/FB4A;FBAV/368.0.0.60.63;FBBV/461110137;FBRV/0;FBPN/com.facebook.katana;FBLC/ms_MY;FBMF/Realme;FBBD/Realme;FBDV/Realme R675;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; Mi 26 Ultra Build/RQ1D.547870.089) [FBAN/FB4A;FBAV/378.0.0.60.38;FBBV/215132212;FBRV/0;FBPN/com.facebook.katana;FBLC/el_GR;FBMF/Mi;FBBD/Mi;FBDV/Mi 26 Ultra;FBSV/11;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Sony Xperia F475S Build/SQ3A.727727.080) [FBAN/FB4A;FBAV/218.0.0.49.75;FBBV/891644248;FBRV/0;FBPN/com.facebook.katana;FBLC/ms_MY;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia F475S;FBSV/12;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Realme U297 Ultra Build/NEV03Y) [FBAN/FB4A;FBAV/419.0.0.51.46;FBBV/168766119;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_BR;FBMF/Realme;FBBD/Realme;FBDV/Realme U297 Ultra;FBSV/7;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 8; Redmi Note L644 Ultra Build/OPM7.252455.090) [FBAN/FB4A;FBAV/192.0.0.52.29;FBBV/352911394;FBRV/0;FBPN/com.facebook.katana;FBLC/da_DK;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Note L644 Ultra;FBSV/8;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Realme W578R Build/MGMT9P) [FBAN/FB4A;FBAV/221.0.0.63.26;FBBV/379064963;FBRV/0;FBPN/com.facebook.katana;FBLC/fi_FI;FBMF/Realme;FBBD/Realme;FBDV/Realme W578R;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Realme K774I Build/MUWUHG) [FBAN/FB4A;FBAV/290.0.0.57.78;FBBV/106801578;FBRV/0;FBPN/com.facebook.katana;FBLC/sr_RS;FBMF/Realme;FBBD/Realme;FBDV/Realme K774I;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Huawei 940T Build/M2MB6K) [FBAN/FB4A;FBAV/208.0.0.10.88;FBBV/153030578;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_CA;FBMF/Huawei;FBBD/Huawei;FBDV/Huawei 940T;FBSV/6;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; Realme 425T Build/RP1A.357573.039) [FBAN/FB4A;FBAV/441.0.0.21.41;FBBV/633362404;FBRV/0;FBPN/com.facebook.katana;FBLC/bs_BA;FBMF/Realme;FBBD/Realme;FBDV/Realme 425T;FBSV/11;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 15; Realme Y165 Ultra Build/TQ1A.941914.016) [FBAN/FB4A;FBAV/178.0.0.19.75;FBBV/213063855;FBRV/0;FBPN/com.facebook.katana;FBLC/mk_MK;FBMF/Realme;FBBD/Realme;FBDV/Realme Y165 Ultra;FBSV/15;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Vivo 518T Build/QQ3A.968787.057) [FBAN/FB4A;FBAV/418.0.0.65.29;FBBV/437609840;FBRV/0;FBPN/com.facebook.katana;FBLC/sr_RS;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo 518T;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Sony Xperia 144 Ultra Build/M21RCN) [FBAN/FB4A;FBAV/245.0.0.42.96;FBBV/301681370;FBRV/0;FBPN/com.facebook.katana;FBLC/fa_IR;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia 144 Ultra;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; LG-60C Build/NU252S) [FBAN/FB4A;FBAV/213.0.0.94.59;FBBV/225143221;FBRV/0;FBPN/com.facebook.katana;FBLC/da_DK;FBMF/LG;FBBD/LG;FBDV/LG-60C;FBSV/7;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Redmi 111 Build/SQ1A.610968.073) [FBAN/FB4A;FBAV/335.0.0.97.21;FBBV/452170558;FBRV/0;FBPN/com.facebook.katana;FBLC/pl_PL;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi 111;FBSV/12;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Oppo 169 Build/MFTRZP) [FBAN/FB4A;FBAV/337.0.0.74.91;FBBV/149191212;FBRV/0;FBPN/com.facebook.katana;FBLC/sr_RS;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo 169;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Oppo E574D Build/SQ1A.290595.059) [FBAN/FB4A;FBAV/369.0.0.82.92;FBBV/809162429;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_FR;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo E574D;FBSV/12;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Realme 207T Build/QQ1C.923864.055) [FBAN/FB4A;FBAV/181.0.0.79.80;FBBV/720470878;FBRV/0;FBPN/com.facebook.katana;FBLC/it_IT;FBMF/Realme;FBBD/Realme;FBDV/Realme 207T;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; RMX4573 Build/PQ3B.676921.087) [FBAN/FB4A;FBAV/364.0.0.24.61;FBBV/448252102;FBRV/0;FBPN/com.facebook.katana;FBLC/ar_AR;FBMF/RMX;FBBD/RMX;FBDV/RMX4573;FBSV/9;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Oppo L108T Build/MMAM50) [FBAN/FB4A;FBAV/357.0.0.56.73;FBBV/403385134;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_PT;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo L108T;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Infinix U865 Ultra Build/LQN17O) [FBAN/FB4A;FBAV/395.0.0.50.25;FBBV/510490650;FBRV/0;FBPN/com.facebook.katana;FBLC/vi_VN;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix U865 Ultra;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; LM-C821 Pro Build/MVCLRO) [FBAN/FB4A;FBAV/330.0.0.13.93;FBBV/824009233;FBRV/0;FBPN/com.facebook.katana;FBLC/el_GR;FBMF/LM;FBBD/LM;FBDV/LM-C821 Pro;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Oppo U935T Build/MSDQR7) [FBAN/FB4A;FBAV/411.0.0.91.55;FBBV/250300292;FBRV/0;FBPN/com.facebook.katana;FBLC/id_ID;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo U935T;FBSV/6;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Infinix L795 Ultra Build/ME5MWP) [FBAN/FB4A;FBAV/149.0.0.78.49;FBBV/305364791;FBRV/0;FBPN/com.facebook.katana;FBLC/hi_IN;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix L795 Ultra;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Redmi Note 871 Build/TQ1A.936187.036) [FBAN/FB4A;FBAV/172.0.0.83.63;FBBV/231495128;FBRV/0;FBPN/com.facebook.katana;FBLC/ca_ES;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Note 871;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Sony Xperia I225T Build/TP1A.410298.069) [FBAN/FB4A;FBAV/236.0.0.15.58;FBBV/139408577;FBRV/0;FBPN/com.facebook.katana;FBLC/ca_ES;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia I225T;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Nokia N706N Build/TD1A.132810.053) [FBAN/FB4A;FBAV/350.0.0.88.85;FBBV/599987762;FBRV/0;FBPN/com.facebook.katana;FBLC/es_ES;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia N706N;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Itel 52 Build/QQ1C.262949.082) [FBAN/FB4A;FBAV/130.0.0.15.53;FBBV/541538171;FBRV/0;FBPN/com.facebook.katana;FBLC/hr_HR;FBMF/Itel;FBBD/Itel;FBDV/Itel 52;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; SM-S155ES Build/TP1A.814303.044) [FBAN/FB4A;FBAV/187.0.0.78.68;FBBV/315209438;FBRV/0;FBPN/com.facebook.katana;FBLC/bn_IN;FBMF/SM;FBBD/SM;FBDV/SM-S155ES;FBSV/14;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Huawei 576T Build/TD1A.549753.084) [FBAN/FB4A;FBAV/205.0.0.99.18;FBBV/897810951;FBRV/0;FBPN/com.facebook.katana;FBLC/vi_VN;FBMF/Huawei;FBBD/Huawei;FBDV/Huawei 576T;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Huawei 566 Ultra Build/N8X5CN) [FBAN/FB4A;FBAV/136.0.0.70.42;FBBV/680923163;FBRV/0;FBPN/com.facebook.katana;FBLC/es_LA;FBMF/Huawei;FBBD/Huawei;FBDV/Huawei 566 Ultra;FBSV/7;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Realme 970T Build/SD2A.741210.065) [FBAN/FB4A;FBAV/406.0.0.51.87;FBBV/534489731;FBRV/0;FBPN/com.facebook.katana;FBLC/id_ID;FBMF/Realme;FBBD/Realme;FBDV/Realme 970T;FBSV/12;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
